state_code_s!,state_name_s,cs_jobs_i,growth_vs_average_f,cs_graduates_i,count_schools_teach_cs_i,job_student_gap_i,state_plan_s,cs_standards_s,pd_funding_s,cs_teacher_cert_s,pre_service_s,state_position_s,require_hs_s,require_k12_s,cs_counts_t,higher_ed_entrance_s,text_t,petition_url_t,action_url_s,action_text_s,avg_sal_computing_i,sal_x_jobs_bi,avg_sal_all_i,preservice_prepared_i,percent_female_cs_grad_i,percent_cs_exams_f,ap_cs_exams_i,percent_ap_female_i,ap_hispanic_i,ap_black_i,ap_native_american_i,ap_hawaiian_i,total_ap_students_color_i,schools_ap_cs_i,percent_schools_ap_cs_i,number_additional_schools_i,ap_csa_exams_i,percent_ap_csa_female_i,ap_csa_hispanic_i,ap_csa_black_i,ap_csa_native_american_i,ap_csa_hawaiian_i,percent_schools_ap_csa_i,ap_csp_exams_i,percent_ap_csp_female_i,ap_csp_hispanic_i,ap_csp_black_i,ap_csp_native_american_i,ap_csp_hawaiian_i,percent_schools_ap_csp_i,principals_core_i,principals_barrier_s,website_url_s,school_district_partners_t,professional_learning_partners_t,other_partners_t,num_affiliates_i,num_elementary_trained_i,num_ecs_csd_i,num_csp_i,num_ms_trained_i,num_hs_trained_i,es_using_codeorg_i,ms_using_codeorg_i,hs_using_codeorg_i,female_codeorg_i,black_codeorg_i,hispanic_codeorg_i,native_american_codeorg_i,hawaiian_codeorg_i,white_codeorg_i,asian_codeorg_i,two_codeorg_i,urm_codeorg_i,rural_codeorg_i,highneed_codeorg_i,num_hoc_i,ap_calc_i,ap_bio_i,ap_phy_i,ap_stats_i,ap_chem_i,ap_env_sci_i,ap_cs_i,student_studio_acct_i,teacher_studio_acct_i,policy_0_t,policy_1_t,policy_2_t,policy_3_t,policy_4_t,policy_5_t,policy_6_t,policy_7_t,policy_8_t,pd_funding_exception_s,require_hs_exception_s,cs_standards_exception_s,ecep_name_s,ecep_email_s,ecep_name_2_s,ecep_email_2_s,ecep_url_s,code_name_s,code_email_s,state_plan_t,standards_t,funding_t,certification_t,preservice_t,state_cs_t,hs_t,count_t,higher_ed_t
GA,Georgia,16402,2.6,2730,55,-13672,Yes,Other,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,NA,93862,1539524183,48280,0,22%,1.19%,6761,29%,634,716,26,7,1383,209,35%,14,2295,24%,216,177,7,0,24%,4466,32%,418,539,19,7,28%,71%,Yes,www.code.org/promote/GA,"Fayette County Public Schools, Forsyth County Schools, Fulton County Schools, and Gwinnett County Public Schools","Georgia Tech Center for Education Integrating Science, Mathematics, and Computing",none,12,3425,124,144,38,73,26,24,25,44,31,10,0,0,39,6,4,52,36,61,2211000,11781,8298,8379,7671,4528,7380,2033,1188065,26153,,Georgia has K–8 computer science standards and is in the process of developing a document aligning K-12 computer science standards.,,,,,,,,,,K-12 CS standards in progress,Bryan Cox,bcox@doe.k12.ga.us,NA,NA,NA,Amy Roberts,amy.roberts@code.org,"The Georgia Department of Education developed a state plan for expanding computer science in 2018. The plan includes strategies to build diversity in computer science education, which includes rural and economically challenged communities.","Although Georgia does not yet have a discrete set of rigorous computer science standards across K–12, K–8 computer science standards were adopted in 2019.","SB 81 (FY 2022), HB 793 (FY 2021)/HB 80 (in 2021 for the current fiscal year), and HB 31 (FY 2020) appropriated $1M, $717,275, and $750K, for each respective fiscal year, for the grant program established by SB 108 (FY 2019). SB 81 (FY 2022) also appropriated $250K for a pilot program for AP CS Principles. HB 683 (FY 2018) appropriated $500K for middle school coding and teacher professional development. In FY 2016, the Governor's Office of Student Achievement Innovation Funds allocated $250K for the expansion of computer science.","In Georgia, teachers with existing licensure can obtain a 6–12 academic endorsement by passing the Georgia GACE Computer Science Assessment. An initial license in computer science requires completing a state-approved program.",The Georgia Department of Education has approved teacher preparation programs leading to certification in computer science and lists these programs publicly. ,The Georgia Department of Education has a Computer Science Education Program Specialist.,"SB 108 (2019) required all high schools to offer computer science beginning in the 2024–2025 school year. The state set incremental requirements for each year, requiring that at least one high school in each local school system offers a course by the 2022–2023 school year, and half of all high schools offer a course by the 2023–2024 school year. Further, all middle and elementary schools must offer instruction in exploratory computer science by the 2022–2023 school year. ","Of the approved computing courses in Georgia, nine can count as the fourth mathematics credit or the fourth science credit for graduation. ","Computer science can count as a science or foreign language credit required for admission at institutions of higher education, which aligns with Georgia's high school graduation policy."
HI,Hawaii,1527,4.3,160,62,-1367,Yes,Yes,Other,Yes,No,Yes,Yes,No,Yes,No,,,,NA,83548,127577955,52900,0,16%,1.32%,742,34%,97,1,1,30,129,32,44%,0,134,25%,14,0,0,4,16%,608,36%,83,1,1,26,38%,0,No,www.code.org/promote/HI,no school districts in the state,STEMworks,none,4,1029,55,21,0,0,46,36,39,45,4,3,0,12,12,25,11,52,21,51,254000,1481,1069,1288,729,523,627,188,182233,4271,,,Hawaii has historically funded computer science professional development. Hawaii has an opportunity to expand computer science by designating state funds for computer science.,,,,,,,No current state funding for CS PD,,,Debra Nakama,debran@hawaii.edu,Hilary Apana-McKee,hilary.apana-mckee@k12.hi.us,NA,Katie Hendrickson,katie@code.org,The Hawaii State Department of Education developed a state plan for expanding computer science access in 2018. The plan includes a section focused on goals to increase diversity and equity in computer science.,"Hawaii adopted the CSTA K–12 Computer Science Standards in 2018. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.","HB 2607 (FY 2019) dedicated $500K to computer science teacher professional development and required grantees to address how they plan to instruct teachers to effectively teach students in computer science, including students from demographic groups that are historically underrepresented in computer science. In 2019, the state budget increased the weighted per-pupil funding to schools by $3M, directing that schools use some of these funds to implement computer science curriculum.","In Hawaii, teachers with existing licensure can obtain a K–6, 6–12, or K–12 certification by completing a state-approved teacher education program, passing the Praxis CS exam, coursework and experience, professional development and experience, or holding a certification from another state and experience. The state also has a limited license for individuals with CS industry experience.",,The Hawaii Department of Education has a Computer Science Specialist.,Act 51 (2018) required all high schools to offer at least one computer science course by the 2021–2022 school year.,"In Hawaii, AP computer science can count as the fourth mathematics credit required for the Academic or STEM Honors Recognition Certificate for graduation.",
IA,Iowa,2939,2.3,679,66,-2260,Other,Yes,Yes,Yes,No,Yes,Yes,No,Other,Yes,,,,NA,83048,244077374,46150,1,18%,1.00%,593,20%,44,18,2,0,64,59,27%,6,286,19%,14,7,0,0,15%,307,21%,30,11,2,0,19%,67%,Yes,www.code.org/promote/IA,no school districts in the state,New Bohemian Innovation Collaborative (NewBoCo),none,14,2023,106,89,0,2,32,35,29,46,9,7,1,1,67,4,4,25,55,30,904000,1958,1056,787,988,1004,533,211,420902,8339,Iowa is in the process of developing a state plan for K-12 computer science. ,,,,,,,"Iowa has passed policy that is permissive and encouraging for schools to allow computer science to count for a core graduation requirement, but it is not a requirement for schools.",,,Working towards all high schools to offer CS,,NA,NA,NA,NA,NA,Sean Roberts,sean@code.org,"Iowa HF 2629 (2020) required the development of a statewide K–12 computer science plan by July 1, 2022. ","Iowa adopted the CSTA K–12 Computer Science Standards in 2018. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.","HF 2643 (FY 2021), HF 758 (FY 2020) and HF 642 (FY 2019) allocated $500K annually for computer science professional development. Another $500K was added to the fund in FY 2019. The grant rubric prioritizes targeted efforts to increase computer science participation by underrepresented groups (including female students, economically disadvantaged students, and students who are Black/African American, Hispanic/Latino/Latina, American Indian/Alaskan, or Native Hawaiian/Pacific Islander).","In Iowa, teachers with existing licensure can obtain a 5–12 or K–8 endorsement by completing a state-approved program or academic coursework in both content and methods. The state waived these requirements in 2018 for teachers who could demonstrate content knowledge and successful teaching experience. ",,The Iowa Department of Education has a Computer Science Education Program.,"HF 2629 (2020) required all high schools to offer computer science by July 1, 2022, and required all elementary and middle schools to offer computer science in at least one grade level by July 1, 2023.","Iowa passed a permissive and encouraging policy to allow computer science to count as a mathematics credit for graduation, but it is a district decision.",Computer science can count towards a core subject area credit required for admission at institutions of higher education in Iowa.
ID,Idaho,1926,2.4,424,38,-1502,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,NA,71947,138569006,43480,0,18%,0.52%,475,28%,42,3,3,2,50,26,25%,10,166,27%,1,1,0,0,11%,309,29%,41,2,3,2,21%,66%,Other,www.code.org/promote/ID,no school districts in the state,Idaho Digital Learning Alliance,none,7,699,83,36,64,37,27,31,21,42,4,13,2,1,61,4,6,30,49,44,434000,1143,631,745,457,322,310,59,170976,3804,,,,,,,,,,,,,NA,NA,NA,NA,NA,Maggie Glennon,maggie@code.org,"The Idaho STEM Action Center and Idaho Digital Learning Academy developed the Idaho Computing Technology K–12 CS State Plan in 2018. The plan includes goals and strategies to increase access for female students, rural students, low-income students, and students from marginalized racial and ethnic groups underrepresented in computer science.","Idaho adopted K–12 computer science standards based on the CSTA standards in 2017. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.","H0331 (FY 2021) allocated $500K, H0215 (FY 2020) allocated $1M, and H0669 (FY 2019), H0298 (FY 2018), and H0379 (FY 2017) allocated $2M annually for the expansion of computer science.","In Idaho, teachers with existing licensure can obtain a 6–12 or 5–9 endorsement by passing the Praxis CS exam. An initial license in computer science requires completing a state-approved program and passing the exam. A 6–12 CTE Occupational Specialist certification in computer science can be obtained with industry experience.",The Idaho Department of Education has approved teacher preparation programs leading to certification in computer science and lists these programs publicly. ,The Idaho Governor's STEM Action Center has a Computer Science Program Manager.,"H648 (2018) required each school district to make one or more computer science courses available to all high school students by FY 2020. Students must have the option of taking the course as part of their course schedule during normal instructional hours at the school where the student is enrolled. Courses may be offered through virtual education programs and online courses, traditional in-person courses, or a combination of online and in-person instruction.","In Idaho, AP Computer Science or dual-credit computer science can count as one mathematics (after completion of Algebra II) or up to two science credits for graduation.","Under certain conditions, computer science can count as a mathematics or science credit required for admission at institutions of higher education in Idaho."
IL,Illinois,14707,2.5,2596,45,-12111,No,Other,No,Yes,No,No,Yes,No,Yes,Yes,,,,NA,84104,1236913344,53790,0,17%,1.41%,8378,31%,1461,369,19,4,1853,241,36%,34,3537,23%,394,78,3,2,24%,4841,37%,1067,291,16,2,28%,65%,No,www.code.org/promote/IL,"Chicago Public Schools, Community High School District 117, Community Unit School District 300, Elmhurst Community Unit School District 205, Lake Zurich Community Unit School District 95, New Trier Township District 203, Northern Suburban Special Education District 804, Ridgewood High School District 234, Township High School District 113, and Warren Township High School District 121",Learning Technology Center,none,17,1979,299,145,215,230,20,21,19,46,20,25,0,0,31,7,4,58,16,50,2592000,19211,9116,14990,7430,6647,4339,2938,1059785,20054,,,,,,,,,,,,K-12 CS standards in progress,NA,NA,NA,NA,NA,Sean Roberts,sean@code.org,,The Illinois State Board of Education began developing standards with their committee in December 2020.,,"In Illinois, teachers with existing licensure can obtain a 5–8, 6–8, or 9–12 endorsement through academic coursework, including computer science teaching methods and passing the state content exam.",,,HB 2170 (2021) required each school district that maintains any of the grades 9 through 12 provide an opportunity for every high school student to take at least one computer science course by the 2023–2024 school year. ,"In Illinois, computer science can count as a mathematics credit for graduation.","Computer science can count as a mathematics credit required for admission at institutions of higher education, which aligns with Illinois's high school graduation policy."
IN,Indiana,4517,1.9,2347,72,-2170,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,NA,77758,351232763,45290,2,19%,0.95%,2890,24%,232,144,14,2,392,124,30%,21,804,16%,52,38,3,1,16%,2086,27%,180,106,11,1,23%,60%,Other,www.code.org/promote/IN,no school districts in the state,Nextech,none,17,2952,188,118,22,25,32,28,29,44,12,9,1,0,60,4,5,32,41,45,1191000,9013,4930,5001,3657,3529,3389,782,660696,15320,,,,,,,,,,,,,Anne T. Ottenbreit-Leftwich,aleftwic@indiana.edu,Maureen Biggers,biggersm@indiana.edu,NA,Sean Roberts,sean@code.org,"The Indiana Department of Education created a state plan for computer science education implementation in 2019. The plan includes a section focused on goals and strategies to increase participation for female students, students with disabilities, rural students, and students from marginalized racial and ethnic groups underrepresented in computer science.",Indiana published a comprehensive set of K–12 computer science standards in 2018.,"HEA 1001 (FY 2023, 2022, 2021, and 2020) allocated $3M annually for teacher professional development. SEA 172 (FY 2019) required the Department of Education to contract with a provider to offer professional development.","In Indiana, teachers with existing licensure can obtain a 5–12 or preK–12 academic endorsement by passing the state-adopted content exam. An initial license in computer science requires completing a state-approved program and passing the exam. The state has a CTE Workplace Specialist license for individuals with occupational experience.","The Indiana Department of Education has approved computer science teacher preparation programs leading to certification in computer science and lists these programs publicly. In 2020, Indiana began requiring all preservice K–8 teachers to learn computer science.",The Indiana Department of Education has a Computer Science Specialist.,"SEA 172 (2018) required all elementary, middle, and high schools to offer computer science by the 2021–2022 school year. SEA 295 (2020) required the Department of Education to post an annual report on computer science course enrollment disaggregated by race, gender, grade, ethnicity, limited English proficiency, free and reduced lunch status, and eligibility for special education.","In Indiana, AP Computer Science, IB Computer Science, Cambridge International CS, Industrial Automation and Robotics, or CTE CS I or II can count as a mathematics or quantitative reasoning credit required for graduation. Computer science can also count as the third science requirement.","Computer science can count as a mathematics credit required for admission at institutions of higher education, which aligns with Indiana's high school graduation policy."
KS,Kansas,2722,1.8,516,27,-2206,Other,Yes,No,Other,No,Yes,No,No,Other,No,,,,NA,76417,208007722,45280,0,15%,0.34%,297,16%,31,5,1,0,37,35,24%,4,147,16%,10,2,1,0,18%,150,16%,21,3,0,0,16%,62%,No,www.code.org/promote/KS,no school districts in the state,Science City at Union Station,none,3,546,22,11,0,0,25,21,9,44,9,9,2,1,56,3,6,36,48,52,695000,1833,528,1178,703,751,132,57,229458,5609,,,,,,,,,,,,,NA,NA,NA,NA,NA,Katie Hendrickson,katie@code.org,"Although Kansas has not yet created a plan for K–12 computer science, the State Board of Education adopted five policy recommendations from the Department of Education’s Computer Science Education Task Force in 2020. The five recommendations include encouraging all schools to offer computer science, allowing computer science to satisfy a core graduation requirement, create a licensure endorsement, and arrange funding to carry out these goals.","Kansas adopted preK–12 computer science standards in 2019. A primary goal of the standards is to increase the availability of rigorous computer science for all students, especially those who are members of underrepresented groups.",,The Kansas State Department of Education has developed proposed licensure standards for preK-12 computer science educators. ,,The Kansas Department of Education has a Computer Science Education Program Consultant. ,,"In Kansas, locally-approved computer science courses can count as a credit for graduation, but it is a district decision.",
KY,Kentucky,3049,2.3,581,45,-2468,Other,Yes,Yes,Yes,No,Yes,No,No,Other,Yes,,,,NA,74833,228164297,43210,0,17%,0.96%,1778,30%,92,59,15,0,166,124,47%,7,521,26%,19,5,3,0,23%,1257,32%,73,54,12,0,41%,61%,Yes,www.code.org/promote/KY,Greenup County Schools (K-5),Kentucky Science and Technology Corporation,none,13,593,75,100,0,0,22,23,18,43,12,5,1,0,65,3,5,27,46,68,787000,4149,3327,2170,2342,1543,1503,538,375518,5657,Kentucky is in the process of developing a state plan for K-12 computer science. ,,,,,,,"Kentucky has passed policy that is permissive and encouraging for schools to allow computer science to count for a core graduation requirement, but it is not a requirement for schools.",,,,,NA,NA,NA,NA,NA,Sean Roberts,sean@code.org,Kentucky is in the process of creating a plan for K–12 computer science for submission to the legislature in November 2020.,Kentucky adopted K–12 computer science standards in 2019.,"HB 2000 (FY 2020) dedicated $800K to the CS and IT academy to address growth in computer science learning. The funding is dedicated to student exam vouchers, teacher K–12 computer science professional learning, and teacher industry certifications.","In Kentucky, teachers with existing licensure can obtain an 8–12 endorsement in computer science.",,The Kentucky Department of Education has a dedicated K–12 Computer Science Lead.,,"Kentucky passed a permissive and encouraging policy to allow computer science to count as an elective science credit or a fourth-year mathematics credit for graduation, but it is a district decision. The course must involve computational thinking, problem-solving, computer programming, and a significant emphasis on the science and engineering practices.","In Kentucky, computer science can count as a mathematics credit required for admission at institutions of higher education if the K–12 district allows the student to fulfill a mathematics graduation credit via the computer science course."
LA,Louisiana,2677,3.9,574,23,-2103,No,No,No,Yes,No,No,No,No,Yes,Yes,,,,NA,71016,190110444,42660,1,20%,0.46%,1000,35%,97,126,4,3,230,66,25%,3,275,28%,30,23,0,0,13%,725,38%,67,103,4,3,20%,65%,No,www.code.org/promote/LA,no school districts in the state,McNeese State University,none,6,741,24,29,0,1,10,13,12,46,33,5,1,1,41,5,5,53,27,53,373000,2050,1949,924,587,955,961,150,223303,6555,,,,,,,,,,,,,NA,NA,NA,NA,NA,Alexis Harrigan,alexis@code.org,,,,"In Louisiana, teachers with existing licensure can add a 6–12 specialty content area in computer science through academic coursework and/or passing the Praxis CS exam.",,,,"In Louisiana, AP Computer Science A can count as an advanced mathematics credit for graduation.",AP Computer Science A can count as a mathematics credit required for admission at institutions of higher education in Louisiana.
MA,Massachusetts,13554,2.1,2908,75,-10646,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Other,Yes,,,,NA,105459,1429391608,63910,0,27%,2.00%,5590,30%,462,343,16,5,826,252,55%,32,2450,27%,153,91,5,1,35%,3140,33%,309,252,11,4,38%,70%,Other,www.code.org/promote/MA,"Arlington Public Schools, Chelmsford School District, Littleton Public Schools, Milton Public Schools, Needham Public Schools, Newton Public Schools, Waltham Public Schools, and Wellesley Public Schools",CSforMA,none,13,938,157,118,0,34,19,24,25,45,11,15,0,1,48,8,6,38,9,31,1736000,12508,8405,8389,7998,5064,3657,2279,513286,11318,Massachusetts is in the process of developing a state plan for K-12 computer science. ,,,,,,,"Massachusetts has passed policy that is permissive and encouraging for schools to allow computer science to count for a core graduation requirement, but it is not a requirement for schools.",,,,,Anne DeMallie,ademallie@doe.mass.edu,Paul Foster,fosterp@springfieldpublicschools.com,NA,Sean Roberts,sean@code.org,"The Massachusetts Department of Elementary and Secondary Education created the 2019 Digital Literacy Now 3 Year Plan, which includes goals, strategies, and timelines for advancing K–12 computer science. One goal of the plan is to focus on ensuring that female students, students from marginalized racial and ethnic groups, and underserved populations receive high-quality instruction. ",Massachusetts adopted K–12 digital literacy and computer science standards in 2016.,"H4000 (FY 2020) allocated $1M for the implementation of engaging and rigorous Digital Learning Computer Science education; $590K went to the Digital Literacy Now grant program for school district teams to develop digital literacy and computer science state plans and complete professional development. The grant program prioritizes underserved students, including economically disadvantaged students, English language learners, students receiving special education services, students from marginalized racial and ethnic groups, and students in rural areas. H4800 (FY 2019) and H3650 (FY 2016) allocated $850K and $1.7M for professional development and implementation support and required a one-to-one private match. ","In Massachusetts, teachers with or without existing licensure can obtain a 5–12 certification by demonstrating competency in each of the computer science standards through a combination of academic coursework, professional development, mentorship experience, teaching experience, passing the Pearson and/or Praxis CS exam, and/or by completing an approved teacher preparation program. ",The Massachusetts Department of Elementary and Secondary Education has approved teacher preparation programs leading to certification in computer science and lists these programs publicly. ,The Massachusetts Department of Elementary and Secondary Education has a Computer Science Content Coordinator.,,"In Massachusetts, a computer science course can substitute for either a mathematics or laboratory science course if the course includes rigorous mathematical or scientific concepts and aligns with the state computer science standards. Students in technical and vocational programs may substitute a computer science course for a foreign language.","In Massachusetts, a computer science course can count as a mathematics, science, or foreign language credit required for admission at institutions of higher education if the course meets certain criteria."
MD,Maryland,12597,2.6,4153,83,-8444,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,NA,105129,1324315053,58770,5,22%,1.55%,7610,36%,536,935,44,7,1522,201,57%,15,2145,26%,121,263,7,3,43%,5465,40%,415,672,37,4,50%,76%,Yes,www.code.org/promote/MD,"Baltimore City Public Schools, Calvert County Public Schools, Charles County Public Schools, Frederick County Public Schools, Howard County Public Schools, Montgomery County Public Schools, and Prince Georges County Public Schools",Maryland Codes,none,16,1332,274,154,56,181,29,34,42,45,36,13,0,0,25,8,5,61,16,43,1607000,12485,5595,6738,6189,3452,4741,1935,729202,18013,,,,,,,,,,,,,Dianne O'Grady-Cunniff,dogrady@usmd.edu,Megean Garvin,mgarvin@umbc.edu,NA,Pat Yongpradit,pat@code.org,"The Maryland Center for Computing Education developed a state plan for computer science in 2018. The plan addresses efforts to increase enrollment in computer science courses for female students, students with disabilities, and students from marginalized racial and ethnic groups underrepresented in computer science.","Maryland approved K–12 computer science standards aligned to the CSTA standards in 2018. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.","HB 281 (FY 2020 and 2021) allocated $1M annually, and SB 185 (FY 2019) allocated $5M for the computer science education initiative. The grants prioritize applications that focus on serving areas with high poverty, rural areas, students with disabilities, female students, or students from marginalized racial and ethnic groups.","In Maryland, teachers with existing licensure can obtain a 7–12 endorsement through academic coursework or passing the Praxis CS exam. An initial computer science licensure requires completing academic coursework and passing the exam. Pathways for CTE, alternative certification, and an accelerated certificate also exist. A stipend is available through the MCCE for teachers who pass the exam.",The Maryland State Department of Education has approved teacher preparation programs leading to certification in computer science and lists these programs publicly. The state provides funding for teacher preparation institutions to establish computer science education programs via HB 281 (2018). ,"The Maryland State Department of Education has a Computer Science Education Specialist as well as a Career Programs, STEM, and Computer Science Coordinator who work with the Director of the Maryland Center for Computing Education to oversee computer science education.","HB 281 (2018) required all high schools to offer at least one computer science course by the 2021–2022 school year and asks each school board to make efforts to incorporate computer science in each elementary and middle school and to increase the enrollment of female students, students with disabilities, and students of underrepresented ethnic or racial groups.","In Maryland, Foundations of Computer Science, Computer Science Principles, AP Computer Science A, and other computer science courses can fulfill the credit requirement in Computer Science, Engineering, or Technology Education. AP Computer Science A can also count as one of the four mathematics credits for graduation.
","AP Computer Science can count as one of the four mathematics credits required for admission at institutions of higher education, as long as computer science is not the final year course, which aligns with Maryland's high school graduation policy. "
ME,Maine,885,3.3,152,56,-733,Yes,No,No,No,No,Yes,No,No,Other,No,,,,NA,81965,72538857,46810,0,18%,1.08%,298,30%,12,3,1,0,16,34,27%,0,119,22%,5,2,0,0,15%,179,35%,7,1,1,0,22%,73%,Yes,www.code.org/promote/ME,no school districts in the state,Educate Maine and Maine Mathematics & Science Alliance,none,7,372,50,40,0,2,21,24,23,46,5,2,1,0,76,4,6,16,53,37,404000,1835,1002,1028,1019,557,352,165,114215,3062,,,,,,,,"Maine has passed policy that is permissive and encouraging for schools to allow computer science to count for a core graduation requirement, but it is not a requirement for schools.",,,,,NA,NA,NA,NA,NA,Sean Roberts,sean@code.org,"The Maine Department of Education developed a state plan for computer science in January 2020 as required by LD 1382. Previously, a task force established by LD 398 (2017) presented recommendations to recognize computer science in the path to proficiency.",,,,,The Maine Department of Education has a Secondary Digital Learning and Computer Science Specialist.,,"Maine passed a policy in 2019 to allow computer science to count as a credit for graduation, but it is a district decision.",
MI,Michigan,9582,2.2,2467,37,-7115,No,Yes,No,No,No,Yes,No,No,Yes,No,,,,www.votervoice.net/Code/campaigns/59886/respond,82386,789419203,49510,1,19%,0.93%,4604,29%,232,163,8,5,408,237,31%,21,1451,24%,56,19,0,3,13%,3153,32%,176,144,8,2,27%,61%,Yes,www.code.org/promote/MI,Utica Community Schools,Grand Valley State University,none,23,1096,240,270,29,4,21,23,19,43,12,6,1,1,59,6,7,30,30,51,2316000,11163,6698,4806,5708,5193,2430,962,852200,14272,,,,,,,,,,Historically encouraged the use of state funds for CS PD but no dedicated funding,,,NA,NA,NA,NA,NA,Maggie Glennon,maggie@code.org,,"Michigan adopted the CSTA K–12 Computer Science Standards in 2019. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.",,Michigan phased out the computer science endorsement in 2017 so that any licensed teacher is eligible to teach computer science. ,"After Michigan phased out the computer science certification, teacher preparation programs in the state also phased out preservice programs in computer science education.",The Michigan Department of Education has a Computer Science Consultant.,,"In Michigan, any department-approved computer science course can count as the fourth mathematics credit for graduation or replace the Algebra II requirement.",
MN,Minnesota,9021,2.1,1296,19,-7725,No,No,No,No,No,Yes,No,No,Yes,No,,,,NA,92494,834385903,54200,0,20%,0.98%,1806,23%,112,82,5,1,200,84,29%,7,943,21%,45,31,3,1,19%,863,25%,67,51,2,0,19%,64%,Other,www.code.org/promote/MN,no school districts in the state,Twin Cities Public Television,none,6,1362,62,46,0,2,21,15,10,45,9,6,2,1,59,10,5,27,36,22,1563000,9034,4128,3164,4704,2038,999,694,565856,11004,,,,,,,,,,,,,Jennifer Rosato,jrosato@css.edu,NA,NA,NA,Amy Roberts,amy.roberts@code.org,,,"Although Minnesota does not provide dedicated state funding, MN was awarded a federal grant under the Jacob K. Javits Gifted and Talented Students Education Program to develop a screening process to identify students gifted in computer science, particularly from limited English or marginalized racial and ethnic groups. Schools that participate receive ongoing professional development, and all students receive computer science instruction.",,,The Minnesota Department of Education has a STEM and Computer Science Integration Specialist.,,"In Minnesota, computer science can count as a mathematics credit for graduation if the course meets state academic standards in mathematics.",
MO,Missouri,6581,2,1521,50,-5060,No,Yes,Yes,Yes,No,No,No,No,Yes,No,,,,NA,81564,536774577,46460,0,16%,0.95%,1072,20%,35,61,7,1,104,126,41%,20,567,18%,20,22,1,1,28%,505,23%,15,39,6,0,30%,71%,Other,www.code.org/promote/MO,no school districts in the state,Institute for School Partnership at Washington University in St. Louis and Science City at Union Station,none,11,991,79,63,0,0,17,21,15,43,19,5,1,1,56,3,5,36,44,51,1357000,3606,2269,2547,1716,1567,942,399,527439,11002,,,,,,,,,,,,,NA,NA,NA,NA,NA,Katie Hendrickson,katie@code.org,,"Missouri adopted K–12 computer science standards in 2019. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.",HB 2 (FY 2020 and 2021) allocated $450K annually to the Computer Science Education fund created by HB 3 (2018 special session). Grant awardees must describe how they will reach and support students from marginalized racial and ethnic groups underrepresented in computer science.,"In Missouri, teachers can obtain a 9–12 certification through academic coursework or by passing the state content exam. Teachers can be authorized to teach computer science after completion of department-approved professional development. State funding for computer science can be used to support credentialing for teachers.",,,,"In Missouri, any computer science course that aligns to the standards and has an appropriately qualified teacher can count as a mathematics, science, or practical arts credit for graduation.",
MS,Mississippi,1519,4,201,48,-1318,Other,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,,NA,72039,109427234,39420,0,17%,0.11%,314,38%,19,56,1,0,76,47,27%,4,24,29%,1,4,0,0,5%,290,39%,18,52,1,0,26%,78%,No,www.code.org/promote/MS,no school districts in the state,Mississippi State University,none,13,788,346,50,0,0,24,40,27,49,34,4,1,0,47,1,4,48,75,81,150000,1076,933,493,387,813,165,16,224549,5189,,,,,,,,,,,,,Shelly Hollis,shelly.hollis@rcu.msstate.edu,NA,NA,NA,Amy Roberts,amy.roberts@code.org,"Mississippi HB 633 (2021) required the development of a strategic plan for statewide computer science education initiatives by January 1, 2022.","Mississippi adopted K–12 computer science standards based on the CSTA standards in 2018. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.",HB 1837 (FY 2022) allocated $1M to develop computer science courses and professional development. HB 1700 (FY 2021) allocated $300K for computer science professional development. HB 1643 (FY 2020) allocated $300K to develop computer science courses and professional development.,"In Mississippi, teachers with existing licensure can obtain an AP Computer Science Principles Endorsement by completing an approved AP training. Teachers can also obtain a K–8 or 7–12 add-on endorsement by completing coursework or approved professional development for specific courses.",,,"HB 633 (2021) required all schools (elementary, middle, and high) to offer instruction in computer science by the 2024–2025 school year. The state set incremental requirements for each year, requiring that all middle schools offer instruction in foundations of computer science and half of all elementary schools in each school district offer at least one hour of computer science instruction per week by the 2022–2023 school year. Half of all high schools in each school district must offer a course in computer science and all elementary schools must offer offer at least on hour of computer science instruction per week by the 2023–2024 school year. Further, all charter schools that serve middle or high school students must offer a course in computer science and all charter schools that serve elementary school students must offer instruction in computer science by the 2022–2023 school year. ","Beginning with incoming freshmen of 2018–2019, all Mississippi students must earn one credit in technology or computer science. Multiple computer science courses may satisfy the graduation credit.","All students applying to state institutions of higher learning in Mississippi for entrance in Fall 2022 must have earned one credit in computer science or technology, which aligns with the high school graduation policy."
