age,type of employment,estimated number of people represented,education level,marital status,occupation,relationship,race,gender,capital gains,capital losses,hours of work per week,native-country,income
44,Self-emp-inc,120277,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K
36,Private,465326,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,103634,11th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
20,State-gov,138371,Some-college,Never-married,Farming-fishing,Own-child,White,Male,0,0,32,United-States,<=50K
28,Private,242832,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,36,United-States,>50K
39,Private,290208,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,<=50K
54,Private,186272,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,3908,0,50,United-States,<=50K
52,Private,201062,11th,Separated,Priv-house-serv,Not-in-family,Black,Female,0,0,18,United-States,<=50K
56,Self-emp-inc,131916,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,<=50K
18,Private,54440,Some-college,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K
39,Private,280215,HS-grad,Divorced,Handlers-cleaners,Own-child,Black,Male,0,0,40,United-States,<=50K
21,Private,214399,Some-college,Never-married,Other-service,Own-child,White,Female,0,1721,24,United-States,<=50K
22,Private,54164,HS-grad,Never-married,Other-service,Not-in-family,White,Male,14084,0,60,United-States,>50K
38,Private,219446,9th,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,0,0,54,Mexico,<=50K
21,Private,110677,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
63,Private,145985,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
34,Local-gov,382078,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,50,United-States,>50K
42,Self-emp-inc,170721,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,50,United-States,>50K
33,Private,269705,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,101135,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,<=50K
39,Private,118429,Some-college,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
26,Private,31208,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
33,Private,281384,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
47,Local-gov,171807,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
41,Private,109912,Bachelors,Never-married,Other-service,Not-in-family,White,Female,0,0,40,Unknown,<=50K
41,Self-emp-inc,445382,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,60,United-States,>50K
19,Private,105460,Some-college,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K
46,Private,170338,HS-grad,Separated,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
43,Private,102606,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,<=50K
55,Private,323887,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,45,United-States,>50K
46,Private,175622,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,229636,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
21,Private,388946,Some-college,Separated,Handlers-cleaners,Not-in-family,White,Female,0,0,40,United-States,<=50K
46,Private,269034,Some-college,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,40,Dominican-Republic,<=50K
17,Unknown,165361,10th,Never-married,Unknown,Own-child,White,Male,0,0,40,United-States,<=50K
41,Private,75012,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,<=50K
69,Self-emp-inc,174379,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,<=50K
50,Private,312477,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
20,Private,72055,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
45,Self-emp-inc,67001,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,<=50K
23,Private,213734,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
24,Private,83141,Some-college,Separated,Other-service,Not-in-family,White,Male,0,1876,40,United-States,<=50K
44,Self-emp-inc,223881,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,99999,0,50,Unknown,>50K
31,Self-emp-not-inc,113752,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
43,Private,170482,HS-grad,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,44,United-States,<=50K
20,Federal-gov,244689,11th,Never-married,Other-service,Own-child,White,Female,0,0,10,United-States,<=50K
55,Private,160631,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States,>50K
24,Federal-gov,228724,Some-college,Never-married,Armed-Forces,Not-in-family,White,Male,0,0,40,United-States,<=50K
41,Unknown,38434,Masters,Married-civ-spouse,Unknown,Wife,White,Female,7688,0,10,United-States,>50K
59,Private,292946,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,25,United-States,<=50K
49,Federal-gov,77443,7th-8th,Never-married,Other-service,Not-in-family,Black,Male,0,0,20,United-States,<=50K
33,Private,176410,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,5178,0,10,United-States,>50K
59,Federal-gov,98984,Bachelors,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
34,Private,198751,Masters,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
20,Private,479296,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
25,Private,235218,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K
49,Private,164877,10th,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
59,Private,272087,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
20,Private,169699,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
51,Unknown,189762,Some-college,Married-civ-spouse,Unknown,Wife,White,Female,0,0,18,United-States,<=50K
33,Private,202191,Some-college,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,35,United-States,<=50K
22,Private,212261,Some-college,Never-married,Transport-moving,Own-child,Black,Male,0,0,39,United-States,<=50K
58,Self-emp-not-inc,301568,9th,Widowed,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
52,Local-gov,155233,HS-grad,Widowed,Adm-clerical,Unmarried,White,Female,0,0,28,United-States,<=50K
36,Private,75826,10th,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
41,Local-gov,201520,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,154236,HS-grad,Never-married,Transport-moving,Own-child,White,Male,2597,0,40,United-States,<=50K
19,Private,289227,Some-college,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,16,United-States,<=50K
18,Private,217439,HS-grad,Never-married,Other-service,Not-in-family,White,Female,0,0,28,United-States,<=50K
18,Private,179020,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,48,United-States,<=50K
28,Private,149624,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,337266,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
20,Unknown,30796,HS-grad,Never-married,Unknown,Own-child,White,Female,0,0,20,United-States,<=50K
40,Private,103541,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
26,Private,206721,HS-grad,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,<=50K
46,Private,96773,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,200967,11th,Never-married,Other-service,Not-in-family,White,Female,0,0,24,United-States,<=50K
44,Private,180019,HS-grad,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
43,Private,179866,Bachelors,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,>50K
31,Local-gov,198770,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,0,0,60,United-States,<=50K
18,Private,219256,Some-college,Never-married,Sales,Own-child,White,Female,0,0,25,United-States,<=50K
19,Private,248730,Some-college,Never-married,Protective-serv,Own-child,White,Male,0,0,30,United-States,<=50K
41,Private,110732,Some-college,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
41,Private,181020,HS-grad,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States,<=50K
69,Private,183791,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,<=50K
48,Federal-gov,42972,Doctorate,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
28,Private,134813,HS-grad,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
27,Self-emp-not-inc,115438,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,Ireland,>50K
41,Private,239296,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,50,United-States,>50K
41,Private,428420,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,247846,HS-grad,Never-married,Craft-repair,Unmarried,Black,Female,0,0,40,United-States,<=50K
20,Unknown,334105,HS-grad,Never-married,Unknown,Not-in-family,White,Female,0,0,40,United-States,<=50K
42,Self-emp-inc,100793,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,41,United-States,>50K
57,Private,244478,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,48,United-States,<=50K
30,Private,142921,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
36,Private,182863,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K
49,Private,171128,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,<=50K
33,Private,145402,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,35,United-States,<=50K
23,Private,306309,10th,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
46,Private,83822,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
18,Private,262118,Some-college,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,22,Germany,<=50K
40,Private,155972,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,55,United-States,>50K
43,Self-emp-inc,214503,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,45,United-States,>50K
34,Private,159303,Masters,Never-married,Prof-specialty,Own-child,White,Female,0,0,30,United-States,<=50K
47,Self-emp-not-inc,174995,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,30,United-States,<=50K
44,Private,26669,Assoc-voc,Widowed,Exec-managerial,Unmarried,White,Female,0,0,30,United-States,<=50K
33,Private,177727,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
55,Private,124771,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,>50K
19,Private,456736,HS-grad,Never-married,Sales,Not-in-family,White,Male,2907,0,30,United-States,<=50K
28,Private,216604,Some-college,Never-married,Other-service,Not-in-family,Black,Male,0,0,14,United-States,<=50K
27,Private,221561,11th,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,32,United-States,<=50K
50,Private,114564,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,20,United-States,<=50K
22,Private,315476,11th,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
40,State-gov,67874,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1887,45,United-States,>50K
25,Private,126110,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
26,Local-gov,102264,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
22,Private,537222,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,25,United-States,<=50K
42,Private,113732,Some-college,Never-married,Handlers-cleaners,Unmarried,Black,Female,0,625,40,United-States,<=50K
38,Self-emp-inc,93225,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
55,Private,43064,11th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,30,United-States,<=50K
32,Private,136921,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
22,Private,388885,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
29,Private,142249,Bachelors,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
46,State-gov,56841,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
31,Private,156493,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
58,Self-emp-not-inc,159021,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,16,United-States,>50K
42,Private,190910,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
18,Private,41879,HS-grad,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,25,United-States,<=50K
58,Local-gov,137249,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,33,United-States,<=50K
54,Private,236157,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,United-States,>50K
34,Private,189759,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
26,Private,239877,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
61,Private,21175,12th,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
48,Local-gov,67229,Masters,Separated,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
36,Private,236391,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
24,Private,325596,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,<=50K
40,Private,83411,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,37,United-States,<=50K
33,Self-emp-inc,154227,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
37,Private,248010,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1887,40,United-States,>50K
34,Private,198613,Masters,Never-married,Exec-managerial,Own-child,White,Male,4650,0,40,United-States,<=50K
56,Self-emp-inc,321529,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,>50K
28,Unknown,168524,HS-grad,Married-civ-spouse,Unknown,Own-child,White,Female,0,0,38,United-States,>50K
37,Private,203079,Bachelors,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,55,United-States,<=50K
44,Private,284652,HS-grad,Divorced,Sales,Unmarried,Black,Female,0,0,40,United-States,<=50K
64,Unknown,201368,Some-college,Married-civ-spouse,Unknown,Husband,White,Male,0,0,8,United-States,<=50K
54,Private,59840,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,45,United-States,<=50K
23,Private,52753,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,50,United-States,<=50K
34,State-gov,513100,Bachelors,Married-spouse-absent,Farming-fishing,Not-in-family,Black,Male,0,0,40,Unknown,<=50K
22,Private,199266,HS-grad,Never-married,Other-service,Not-in-family,White,Female,0,0,45,United-States,<=50K
33,Private,196385,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,>50K
39,Private,163205,Bachelors,Separated,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,>50K
47,Private,411047,Some-college,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,37,United-States,<=50K
79,Unknown,48574,7th-8th,Widowed,Unknown,Not-in-family,White,Male,0,0,40,United-States,<=50K
26,Private,209440,HS-grad,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,55,United-States,<=50K
31,Private,56964,Some-college,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
44,Private,299197,Some-college,Never-married,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,<=50K
42,Self-emp-inc,240628,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,>50K
19,Private,355313,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
27,Private,132267,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,>50K
51,Local-gov,174861,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
28,Self-emp-inc,142443,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
57,Private,26716,Bachelors,Divorced,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,<=50K
45,Local-gov,185588,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
50,Private,175029,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
34,Self-emp-inc,34848,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,54,United-States,<=50K
45,Private,411273,7th-8th,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
73,Local-gov,143437,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,20,United-States,<=50K
34,Private,357145,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,>50K
31,Private,236861,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,>50K
19,Private,53355,11th,Never-married,Sales,Not-in-family,White,Male,0,0,12,United-States,<=50K
25,Private,29106,Some-college,Never-married,Other-service,Own-child,White,Female,0,0,50,United-States,<=50K
38,Federal-gov,213274,Assoc-voc,Divorced,Craft-repair,Unmarried,White,Female,6497,0,40,United-States,<=50K
39,Private,22463,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,180497,Bachelors,Never-married,Tech-support,Own-child,Black,Female,0,0,32,United-States,<=50K
49,Private,37306,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
33,Federal-gov,137814,HS-grad,Never-married,Other-service,Not-in-family,White,Male,0,0,32,United-States,<=50K
21,Private,447488,5th-6th,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,38,Mexico,<=50K
31,Private,220915,Assoc-voc,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
23,Private,42251,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,<=50K
34,Private,162312,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
25,Private,77698,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
39,Private,282951,HS-grad,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
52,Self-emp-inc,311259,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
63,Local-gov,65479,9th,Married-civ-spouse,Transport-moving,Husband,White,Male,7688,0,40,United-States,>50K
41,Private,277256,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
46,Private,312088,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,38,United-States,>50K
53,Local-gov,169719,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
25,Unknown,270276,9th,Separated,Unknown,Not-in-family,White,Female,1055,0,40,United-States,<=50K
77,Unknown,172744,Some-college,Married-civ-spouse,Unknown,Husband,White,Male,0,0,35,United-States,<=50K
18,Private,96869,12th,Never-married,Priv-house-serv,Own-child,White,Male,0,0,40,United-States,<=50K
38,Private,237943,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
55,Private,119751,Masters,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,50,Thailand,<=50K
34,Private,236861,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
80,Self-emp-not-inc,201092,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,30,United-States,<=50K
34,Private,147215,Assoc-voc,Divorced,Tech-support,Unmarried,White,Female,0,0,60,United-States,<=50K
52,Private,152373,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,5013,0,40,United-States,<=50K
42,Private,227968,HS-grad,Never-married,Other-service,Unmarried,Black,Female,0,0,28,Haiti,<=50K
26,Private,362617,Some-college,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
31,Private,103435,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
25,Local-gov,281412,HS-grad,Never-married,Other-service,Own-child,White,Female,0,0,35,United-States,<=50K
55,Self-emp-not-inc,105239,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2057,60,United-States,<=50K
19,Private,230165,Some-college,Never-married,Other-service,Own-child,White,Female,0,0,12,United-States,<=50K
62,Self-emp-not-inc,177493,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,32,United-States,<=50K
22,Federal-gov,104443,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
39,Unknown,110342,HS-grad,Married-civ-spouse,Unknown,Wife,White,Female,0,0,50,United-States,<=50K
35,Private,143385,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,107189,HS-grad,Married-civ-spouse,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
47,Private,212944,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,70,United-States,>50K
44,State-gov,138634,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
21,Private,99970,Some-college,Never-married,Sales,Own-child,White,Male,0,0,15,United-States,<=50K
35,Private,203717,Assoc-voc,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
